
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
4338464429256	Estacionamiento		Movilidad y Viaticos	Movilidad y Viaticos		$ 8.264,46	$ 0,00		  
3508295904666	IIBB		Impuesto a los Ingresos Brutos	Impuesto a los Ingresos Brutos		$ 10.116,84	$ 0,00		  
1069308643463	TERMINAL ANTIVIENTOS COAXIAL 60/100 PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 7.456,20	$ 0,00		  
2671761823119	CAÑO COAXIAL 100/60 PARA SALIDA DE HUMOS X 3 METROS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 162.000,00	$ 0,00		  
5778590191907	Teflon 3/4*40mts alta densidad		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
451463893197	Tapon 1/2&quot;RM Galvanizado		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5818498034193	ELEMENTO RADIADOR CALDAIA CLAN N500		Costo de Mercaderia Vendida	Ventas Brutas de Servicios		$ 193.086,00	$ 0,00		  
6271589589844	Teflon 3/4*40mts de alta densidad		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4956179037469	Separador hidráulico 50000 kcal		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 463.980,00	$ 0,00		  
116030021631	Bomba circuladora grundfos 15/60		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1086045574649	Toallero Kanah Blanco 1200 (450mm ee)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 162.459,83	$ 0,00		  
2971917735812	Alquiler Oficina		Alquileres y Expensas	Alquileres y Expensas		$ 120.000,00	$ 0,00		  
6031798425	CODO COAXIAL 100/60 90° PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 18.632,50	$ 0,00		  
6243791805	Sombrerete plastico		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 14.915,80	$ 0,00		  
9813456720	Caño plastico ventilacion D 100mm* 1mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6758042391	Caño plastico ventilacion D 100mm* 1mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,10	$ 0,00		  
6402813579	Válvula +Detentor escuadra estándard Diamante		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
871148909820	PAR DE MENSULAS PARA RADIADOR TIPO L PARA CONSTRUCCION EN SECO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.632,90	$ 0,00		  
1949294017860	INTERCAMBIADOR DE CALOR DE PLACAS 20KW (22000 KCAL/H) CONEXIÓN 3/4&quot;H		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4510604386658	VENTILACIONES PARA CALDERAS TIRO FORZADO BALANCEADO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7932864501	TUBO REDONDO 80mm *76*206063 T5 CRUDO PARA SALIDA DE HUMOS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.756,57	$ 0,00		  
8791036524	TERMOSTATO DE AMBIENTE CALDAIA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
7853642109	REHAU CASQUILLO DE PRESION 16 x 2MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 423,85	$ 0,00		  
6915408372	REHAU CASQUILLO DE PRESION 20 x 2MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 554,26	$ 0,00		  
9146753802	REHAU CASQUILLO DE PRESION 25 x 2,3MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 789,76	$ 0,00		  
1537284069	REHAU - RAUBASIC - CODO DE PARED, CORTO 16 - RP 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 6.303,38	$ 0,00		  
8502734169	REHAU RAUBASIC TUBO PE-XA16*2.0MM*240MTS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.626,56	$ 0,00		  
9716532048	TUBO RAUBASIC PE-XA25*2.3MM*50MTS		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.245,03	$ 0,00		  
8952314760	T 25-25-25 EX REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.834,46	$ 0,00		  
7401935286	T 16-16-16 EX REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.564,63	$ 0,00		  
5674138902	TEE 25-25-16 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.600,63	$ 0,00		  
3421659780	TEE 25-16-16 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.645,13	$ 0,00		  
6705194283	REHAU - RAUBASIC - CODO DE PARED, CORTO 25 - RP 3/4&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 8.549,19	$ 0,00		  
5709632814	TUBO REDONDO 60*1.5mm CRUDO		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$- 1,46	$ 0,00		  
42104026325	Descuentos por Compras		Descuentos por Compras	Descuentos por Compras		$- 1.133.978,40	$ 0,00		  
4201875639	CURVA 90° M-F o 80MM ARISTON		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 21.016,25	$ 0,00		  
2987140536	REHAU - RAUTHERM - S 25 X 2,3 ROLLO X 300 MTS. EVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.319,49	$ 0,00		  
8172650493	REHAU - RAUBASIC - CODO ROSCA INTERIOR 32 - RP 1&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6751023498	TUBO PEX-XA 32 REHAU X MTR		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2,53	$ 0,00		  
9735206184	TEE 32-32-32 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.417,73	$ 0,00		  
2738105694	T 25-16-25		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.715,41	$ 0,00		  
8971305264	REHAU - RAUBASIC - CODO ROSCA INTERIOR 20 - RP 3/4&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 6.822,23	$ 0,00		  
3712058649	vaso de expansion 8 L		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 62.244,00	$ 0,00		  
9758932721704	Retenciones Ganancias Sufridas		Retenciones Ganancias (Sufridas)	Retenciones Ganancias (Sufridas)		$ 0,00	$ 0,00		  
1030493046922	Mano de obra instalacion cañeria para radiadores		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 400.000,00	$ 0,00		  
7806059779413	impuestos		Impuesto Credito Bancario Ley 25.413	Impuesto Credito Bancario Ley 25.413		$ 0,00	$ 0,00		  
9073564821	CALDERA A LEÑA CBI 60		Costo de Mercaderia Vendida	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
8239006831793	CUPLA UNION 60MM PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 12.960,00	$ 0,00		  
5515625631616	CUPLA UNION 100MM PARA SALIDA DE HUMOS CALDERA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 12.960,00	$ 0,00		  
5071730879590	CLIMATIZADOR DE PISCINA DIGITAL CP 30		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.445.000,00	$ 0,00		  
6191759751054	TUBO 5M x 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
3172442510196	TUBO 4M x 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4988195243182	TUBO 2M x 80MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9205463871	BOILER ACUMULADOR HEATCRAFT HAC-200SA CON DOBLE SERPENTINA		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.128.348,80	$ 0,00		  
1309097445137	ARO DE TERMINACIÓN 100MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9721054638	REHAU RAUBASIC PE-Xa25*2.3mmEVAL		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.037,48	$ 0,00		  
232803.001	REHAU – RAUBASIC – PIEZA EN T20-25-20		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 4.378,47	$ 0,00		  
232793.001	TEE 20-20-20 REHAU		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.417,78	$ 0,00		  
